Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,M1K,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,3120.0
Religion,M1K,Other Religions,Other Religions,,,,,,9090.0
Religion,M1K,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,3925.0
Religion,M1K,  Jewish,Other Religions,  Jewish,,,,,65.0
Religion,M1K,  Islam,Other Religions,  Islam,,,,,1740.0
Religion,M1K,  Buddhist,Other Religions,  Buddhist,,,,,575.0
Religion,M1K,  Hindu,Other Religions,  Hindu,,,,,2395.0
Religion,M1K,  Sikh,Other Religions,  Sikh,,,,,305.0
Religion,M1K,Other (other religions) (4),Other (other religions) (4),,,,,,85.0
Religion,M1K,No religious affiliation,No religious affiliation,,,,,,6810.0
Religion,M1L,"Religion, Catholic","Religion, Catholic",,,,,,6845.0
Religion,M1L,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,6815.0
Religion,M1L,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,30.0
Religion,M1L,"Religion, Protestant","Religion, Protestant",,,,,,9245.0
Religion,M1L,  United Church,"Religion, Protestant",  United Church,,,,,2305.0
Religion,M1L,  Anglican,"Religion, Protestant",  Anglican,,,,,2145.0
Religion,M1L,  Baptist,"Religion, Protestant",  Baptist,,,,,675.0
Religion,M1L,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,910.0
Religion,M1L,  Lutheran,"Religion, Protestant",  Lutheran,,,,,490.0
Religion,M1L,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,395.0
Religion,M1L,  Mennonite,"Religion, Protestant",  Mennonite,,,,,110.0
Religion,M1L,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,85.0
Religion,M1L,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,25.0
Religion,M1L,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,130.0
Religion,M1L,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,50.0
Religion,M1L,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1915.0
Religion,M1L,Other Religions,Other Religions,,,,,,3895.0
Religion,M1L,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,1520.0
Religion,M1L,  Jewish,Other Religions,  Jewish,,,,,10.0
Religion,M1L,  Islam,Other Religions,  Islam,,,,,1450.0
Religion,M1L,  Buddhist,Other Religions,  Buddhist,,,,,200.0
Religion,M1L,  Hindu,Other Religions,  Hindu,,,,,580.0
Religion,M1L,  Sikh,Other Religions,  Sikh,,,,,100.0
Religion,M1L,Other (other religions) (4),Other (other religions) (4),,,,,,35.0
Religion,M1L,No religious affiliation,No religious affiliation,,,,,,4535.0
Religion,M1M,"Religion, Catholic","Religion, Catholic",,,,,,6330.0
Religion,M1M,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,6225.0
Religion,M1M,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,100.0
Religion,M1M,"Religion, Protestant","Religion, Protestant",,,,,,8800.0
Religion,M1M,  United Church,"Religion, Protestant",  United Church,,,,,2460.0
Religion,M1M,  Anglican,"Religion, Protestant",  Anglican,,,,,2785.0
Religion,M1M,  Baptist,"Religion, Protestant",  Baptist,,,,,465.0
Religion,M1M,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,755.0
Religion,M1M,  Lutheran,"Religion, Protestant",  Lutheran,,,,,455.0
Religion,M1M,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,210.0
Religion,M1M,  Mennonite,"Religion, Protestant",  Mennonite,,,,,15.0
Religion,M1M,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,10.0
Religion,M1M,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,20.0
Religion,M1M,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,35.0
Religion,M1M,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,15.0
