Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Mobility status,M1M,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,3600.0
Mobility status,M1M,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,2685.0
Mobility status,M1M,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,1625.0
Mobility status,M1M,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,1230.0
Mobility status,M1M,"        Interprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Interprovincial migrants, 5 yr. mob. status",,400.0
Mobility status,M1M,"      External migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      External migrants, 5 year mobility status",,,1055.0
Mobility status,M1N,Total population 1 year and over (17),Total population 1 year and over (17),,,,,,20575.0
Mobility status,M1N,"  Non-movers, one year mobility status",Total population 1 year and over (17),"  Non-movers, one year mobility status",,,,,17455.0
Mobility status,M1N,"  Movers, one year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status",,,,,3120.0
Mobility status,M1N,"    Intraprovincial movers, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Intraprovincial movers, 1 year mobility status",,,,2865.0
Mobility status,M1N,"    Interprovincial migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    Interprovincial migrants, 1 year mobility status",,,,65.0
Mobility status,M1N,"    External migrants, 1 year mobility status",Total population 1 year and over (17),"  Movers, one year mobility status","    External migrants, 1 year mobility status",,,,185.0
Mobility status,M1N,Total population 5 years and over (17),Total population 5 years and over (17),,,,,,19540.0
Mobility status,M1N,"  Non-movers, five year mobility status",Total population 5 years and over (17),"  Non-movers, five year mobility status",,,,,11270.0
Mobility status,M1N,"  Movers, five year moblilty status",Total population 5 years and over (17),"  Movers, five year moblilty status",,,,,8275.0
Mobility status,M1N,"    Non-migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Non-migrants, 5 year mobility status",,,,4475.0
Mobility status,M1N,"    Migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status",,,,3800.0
Mobility status,M1N,"      Internal migrants, 5 year mobility status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status",,,3100.0
Mobility status,M1N,"        Intraprovincial migrants, 5 yr. mob. status",Total population 5 years and over (17),"  Movers, five year moblilty status","    Migrants, 5 year mobility status","      Internal migrants, 5 year mobility status","        Intraprovincial migrants, 5 yr. mob. status",,2775.0
