Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1800
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1320
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,485
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,4330
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,28545
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,25240
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3300
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2115
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1180
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,310
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,210
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,100
M1R,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,870
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,26915
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,15980
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,10935
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,7125
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,3810
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1175
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,850
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,325
M1R,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,2630
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,34065
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,30315
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3745
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2295
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1455
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,375
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,255
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,125
M1S,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1075
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,32640
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,19575
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,13070
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,8130
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,4940
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1235
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,905
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,330
M1S,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,3710
M1T,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,32850
M1T,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,28450
M1T,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,4395
M1T,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2735
M1T,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1665
